"","log_date","fans_label","uv","uv_new","avs","play","uv_active","avid_cnt"
"105",20200531,5,5603,7,2640376,2.2e+11,4521,95700
"106",20200531,0,6367,372,157864,815683315,723,4735
"107",20200531,3,177210,1419,18629508,1.4e+11,68325,682097
"108",20200531,2,599139,5377,25937579,88744031439,178716,1337068
"109",20200630,1,10445380,477177,63074556,40772537325,1391159,4402607
"110",20200630,0,8654,305,213682,1082604186,636,3285
"111",20200630,5,5856,19,2748776,2.33e+11,4688,66497
"112",20200630,3,183087,1128,19507235,1.46e+11,65027,625560
"113",20200630,2,621538,4098,27375120,93335251106,163193,1141673
"114",20200630,4,41760,146,9732041,1.62e+11,23657,260019
"115",20200731,1,10952540,540095,67020396,43395896466,1524113,4907537
"116",20200731,2,646564,4535,29029281,98672916189,175170,1298398
"117",20200731,5,6171,14,2874667,2.49e+11,4968,70411
"118",20200731,4,43778,182,10245933,1.71e+11,25144,282121
"119",20200731,0,11282,371,284068,1364832027,744,4262
"120",20200731,3,191591,1322,20409074,1.54e+11,69368,673744
"121",20200831,2,673466,4949,30776400,1.04e+11,184546,1406670
"122",20200831,1,11540375,623530,71314941,46030808292,1648401,5342139
"123",20200831,4,45869,154,10715646,1.81e+11,26042,297806
"124",20200831,3,200311,1317,21498568,1.63e+11,72682,729339
"125",20200831,5,6555,30,3018243,2.67e+11,5329,76999
"126",20200831,0,14347,459,363268,1655115162,926,5581
"127",20200930,1,11883878,343452,74502609,47713235039,1054268,3845106
"128",20200930,4,47336,134,11176535,1.88e+11,24826,276322
"129",20200930,0,16658,265,435143,2078959881,539,3111
"130",20200930,3,207061,980,22507534,1.68e+11,64565,656110
"131",20200930,5,6801,12,3163979,2.8e+11,5387,76555
"132",20200930,2,693169,3229,32271105,1.08e+11,148882,1145579
"133",20201031,5,7085,10,3330877,2.95e+11,5608,79630
"134",20201031,4,48803,114,11764958,1.97e+11,25548,298380
"135",20201031,1,12366341,418671,78121147,49510078178,1192906,4115426
"136",20201031,2,713447,3685,33952115,1.13e+11,159522,1273649
"137",20201031,0,19004,268,505773,2393001975,556,2953
"138",20201031,3,212263,941,23658286,1.75e+11,67056,736503
"139",20201130,3,219612,991,24906361,1.81e+11,69245,851029
"140",20201130,2,731449,3238,35504894,1.17e+11,160368,1332355
"141",20201130,5,7337,15,3475780,3.09e+11,5747,80584
"142",20201130,1,12746142,404949,81273746,51225967991,1180293,4079876
"143",20201130,0,21347,304,581600,2777557551,578,3015
"144",20201130,4,50161,110,12237835,2.06e+11,26046,322728
"145",20201231,4,51645,128,12756095,2.14e+11,27410,351384
"146",20201231,1,14129480,1403628,86358514,53096401382,2573305,6172885
"147",20201231,0,24268,630,692393,3224151707,943,6367
"148",20201231,2,751878,5006,37402921,1.21e+11,190227,1629719
"149",20201231,3,227202,1203,26351260,1.89e+11,77001,1069779
"150",20201231,5,7655,12,3656934,3.25e+11,6004,92948
"151",20210131,4,53388,130,13632378,2.27e+11,28507,459481
"152",20210131,2,776112,6101,39761094,1.27e+11,208986,2100199
"153",20210131,1,15171206,1413932,91886997,55307590053,2754783,7315056
"154",20210131,5,8008,20,3818390,3.44e+11,6240,89497
"155",20210131,0,27659,556,799545,3901950888,992,5615
"156",20210131,3,235359,1249,27669203,1.97e+11,82416,1067623
"157",20210228,4,54908,104,14262562,2.39e+11,28669,397276
"158",20210228,0,31542,541,920681,4600049853,991,5273
"159",20210228,5,8462,21,3995402,3.66e+11,6587,81295
"160",20210228,2,800815,4565,42016524,1.33e+11,205141,1892484
"161",20210228,1,15836426,698768,96631217,57720268056,1869159,6148025
"162",20210228,3,243558,886,29261851,2.06e+11,82433,1110343
"163",20210331,2,821014,4022,44025852,1.38e+11,189275,1743006
"164",20210331,5,8785,12,4154018,3.84e+11,6763,99020
"165",20210331,0,35043,518,1057193,5363699884,963,5597
"166",20210331,3,239348,789,30344589,2.14e+11,77755,957522
"167",20210331,4,55332,98,14855096,2.49e+11,28182,449270
"168",20210331,1,16368024,546891,101763698,59920272633,1535095,5895491
