log_date,fans_label,fans_level,uv,uv_new,avs,play,uv_active,avid_cnt
2020_0430,1,0-100,9409254,741346,55034195,36094334381,1847804,6070445
2020_0430,2,100-1k,570285,6927,24230109,83751287334,182381,1409104
2020_0430,3,1k-10k,168883,1619,17676760,1.33E+11,67876,696464
2020_0430,4,10k-100k,38474,177,8918761,1.47E+11,23084,272006
2020_0430,5,100k+,5344,8,2526331,2.07E+11,4316,90900
2020_0531,0,,6367,372,157864,815683315,723,4735
2020_0531,1,0-100,9996622,623403,59478189,38610508033,1678856,5386396
2020_0531,2,100-1k,599139,5377,25937579,88744031439,178716,1337068
2020_0531,3,1k-10k,177210,1419,18629508,1.40E+11,68325,682097
2020_0531,4,10k-100k,40216,147,9343103,1.54E+11,23839,271219
2020_0531,5,100k+,5603,7,2640376,2.20E+11,4521,95700
2020_0630,0,,8654,305,213682,1082604186,636,3285
2020_0630,1,0-100,10445380,477177,63074556,40772537325,1391159,4402607
2020_0630,2,100-1k,621538,4098,27375120,93335251106,163193,1141673
2020_0630,3,1k-10k,183087,1128,19507235,1.46E+11,65027,625560
2020_0630,4,10k-100k,41760,146,9732041,1.62E+11,23657,260019
2020_0630,5,100k+,5856,19,2748776,2.33E+11,4688,66497
2020_0731,0,,11282,371,284068,1364832027,744,4262
2020_0731,1,0-100,10952540,540095,67020396,43395896466,1524113,4907537
2020_0731,2,100-1k,646564,4535,29029281,98672916189,175170,1298398
2020_0731,3,1k-10k,191591,1322,20409074,1.54E+11,69368,673744
2020_0731,4,10k-100k,43778,182,10245933,1.71E+11,25144,282121
2020_0731,5,100k+,6171,14,2874667,2.49E+11,4968,70411
2020_0831,0,,14347,459,363268,1655115162,926,5581
2020_0831,1,0-100,11540375,623530,71314941,46030808292,1648401,5342139
2020_0831,2,100-1k,673466,4949,30776400,1.04E+11,184546,1406670
2020_0831,3,1k-10k,200311,1317,21498568,1.63E+11,72682,729339
2020_0831,4,10k-100k,45869,154,10715646,1.81E+11,26042,297806
2020_0831,5,100k+,6555,30,3018243,2.67E+11,5329,76999
2020_0930,0,,16658,265,435143,2078959881,539,3111
2020_0930,1,0-100,11883878,343452,74502609,47713235039,1054268,3845106
2020_0930,2,100-1k,693169,3229,32271105,1.08E+11,148882,1145579
2020_0930,3,1k-10k,207061,980,22507534,1.68E+11,64565,656110
