log_date,fans_label,uv,uv_new,avs,play,uv_active,avid_cnt
20190731,2,387792,4842,14552064,49404717284,111912,796050
20190831,5,3454,4,1641107,1.24873E+11,2808,43538
20190831,0,33,0,406,3274258,0,
20190831,1,5569007,456560,30598739,21446470196,1071541,3061273
20190831,3,124187,930,12250743,89475606913,46428,458442
20190831,2,406716,5023,15563449,53408777416,119578,839369
20190831,4,26038,85,6101574,98226820162,15183,186863
20190930,2,419286,3005,16346057,56214382150,99325,632054
20190930,3,127530,698,12709293,93508913932,41215,379150
20190930,1,5863653,309113,32346137,22700801482,796039,2136311
20190930,4,27138,66,6381531,1.02344E+11,14770,170048
20190930,5,3605,2,1713642,1.31877E+11,2897,40551
20190930,0,33,0,406,3294234,0,
20191031,0,33,0,406,3307728,0,
20191031,2,432763,2955,17104884,59314018530,103839,658244
20191031,3,131824,635,13288497,98100509052,43057,406763
20191031,4,28357,54,6653986,1.07194E+11,15437,175579
20191031,1,6179721,333017,34225977,24038330278,863268,2319834
20191031,5,3780,3,1804431,1.39663E+11,2986,44935
20191130,1,6471925,307223,36104315,25320194936,811952,2282471
20191130,2,445262,2727,17820438,62059581523,99844,629505
20191130,0,33,0,406,3322089,0,
20191130,3,135817,664,13817521,1.02183E+11,42609,412550
20191130,4,29585,67,6995918,1.12618E+11,15789,178494
20191130,5,3923,4,1871818,1.46985E+11,3077,44564
20191231,0,33,0,406,3338238,0,
20191231,3,139965,695,14425328,1.06834E+11,44993,443388
20191231,5,4097,12,1953533,1.55205E+11,3232,48220
20191231,4,30763,79,7289179,1.18071E+11,16634,188184
20191231,2,459378,3177,18659145,65103738085,106772,709411
20191231,1,6807214,352142,38198223,26807911357,903374,2545004
20200131,3,143336,735,15002141,1.12315E+11,49076,461573
20200131,2,474639,3511,19650802,68889491069,122971,849208
20200131,5,4359,6,2048680,1.66197E+11,3458,46047
20200131,0,33,0,406,3347638,0,
20200131,1,7206580,416996,40693477,28551450305,1111414,2985204
20200131,4,32175,93,7610348,1.24265E+11,17783,189274
20200229,2,503121,8348,20875572,73307951454,154312,1093480
20200229,4,34179,136,8003836,1.31467E+11,19227,219921
20200229,1,7905495,728895,44814210,30668467843,1643116,4831380
20200229,5,4698,13,2167123,1.79227E+11,3631,50252
20200229,3,150503,1235,15906426,1.18931E+11,56578,589766
20200229,0,33,0,406,3359142,0,
20200331,5,5024,11,2286710,1.93236E+11,4060,62029
20200331,2,537562,8256,22505049,78543465436,180351,1328939
20200331,3,159396,1661,16725681,1.26463E+11,64880,646482
20200331,0,1046,208,27745,131121806,365,2333
20200331,4,36403,163,8567530,1.39792E+11,21851,285129
20200331,1,8715301,861565,49946008,33339485672,1977297,6099312
20200430,3,168883,1619,17676760,1.33277E+11,67876,696464
20200430,2,570285,6927,24230109,83751287334,182381,1409104
20200430,1,9409254,741346,55034195,36094334381,1847804,6070445
20200430,0,3893,376,88516,428194934,726,4041
20200430,5,5344,8,2526331,2.07313E+11,4316,90900
20200430,4,38474,177,8918761,1.4706E+11,23084,272006
20200531,4,40216,147,9343103,1.54429E+11,23839,271219
20200531,1,9996622,623403,59478189,38610508033,1678856,5386396
20200531,5,5603,7,2640376,2.20349E+11,4521,95700
20200531,0,6367,372,157864,815683315,723,4735
20200531,3,177210,1419,18629508,1.39962E+11,68325,682097
20200531,2,599139,5377,25937579,88744031439,178716,1337068
20200630,1,10445380,477177,63074556,40772537325,1391159,4402607
20200630,0,8654,305,213682,1082604186,636,3285
20200630,5,5856,19,2748776,2.3301E+11,4688,66497
20200630,3,183087,1128,19507235,1.4633E+11,65027,625560
20200630,2,621538,4098,27375120,93335251106,163193,1141673
20200630,4,41760,146,9732041,1.62013E+11,23657,260019
20200731,1,10952540,540095,67020396,43395896466,1524113,4907537
20200731,2,646564,4535,29029281,98672916189,175170,1298398
20200731,5,6171,14,2874667,2.49071E+11,4968,70411
20200731,4,43778,182,10245933,1.70912E+11,25144,282121
20200731,0,11282,371,284068,1364832027,744,4262
20200731,3,191591,1322,20409074,1.54451E+11,69368,673744
20200831,2,673466,4949,30776400,1.0421E+11,184546,1406670
20200831,1,11540375,623530,71314941,46030808292,1648401,5342139
20200831,4,45869,154,10715646,1.81004E+11,26042,297806
20200831,3,200311,1317,21498568,1.62533E+11,72682,729339
20200831,5,6555,30,3018243,2.6718E+11,5329,76999
20200831,0,14347,459,363268,1655115162,926,5581
20200930,1,11883878,343452,74502609,47713235039,1054268,3845106
20200930,4,47336,134,11176535,1.88423E+11,24826,276322
20200930,0,16658,265,435143,2078959881,539,3111
20200930,3,207061,980,22507534,1.68293E+11,64565,656110
20200930,5,6801,12,3163979,2.80113E+11,5387,76555
20200930,2,693169,3229,32271105,1.08195E+11,148882,1145579
20201031,5,7085,10,3330877,2.94765E+11,5608,79630
20201031,4,48803,114,11764958,1.9737E+11,25548,298380
20201031,1,12366341,418671,78121147,49510078178,1192906,4115426
20201031,2,713447,3685,33952115,1.12575E+11,159522,1273649
20201031,0,19004,268,505773,2393001975,556,2953
20201031,3,212263,941,23658286,1.74511E+11,67056,736503
20201130,3,219612,991,24906361,1.81161E+11,69245,851029
20201130,2,731449,3238,35504894,1.16685E+11,160368,1332355
20201130,5,7337,15,3475780,3.08862E+11,5747,80584
20201130,1,12746142,404949,81273746,51225967991,1180293,4079876
20201130,0,21347,304,581600,2777557551,578,3015
20201130,4,50161,110,12237835,2.06222E+11,26046,322728
20201231,4,51645,128,12756095,2.14377E+11,27410,351384
20201231,1,14129480,1403628,86358514,53096401382,2573305,6172885
20201231,0,24268,630,692393,3224151707,943,6367
20201231,2,751878,5006,37402921,1.21189E+11,190227,1629719
20201231,3,227202,1203,26351260,1.88751E+11,77001,1069779
20201231,5,7655,12,3656934,3.25326E+11,6004,92948
20210131,4,53388,130,13632378,2.27458E+11,28507,459481
20210131,2,776112,6101,39761094,1.26923E+11,208986,2100199
20210131,1,15171206,1413932,91886997,55307590053,2754783,7315056
20210131,5,8008,20,3818390,3.44243E+11,6240,89497
20210131,0,27659,556,799545,3901950888,992,5615
20210131,3,235359,1249,27669203,1.96714E+11,82416,1067623
20210228,4,54908,104,14262562,2.38774E+11,28669,397276
20210228,0,31542,541,920681,4600049853,991,5273
20210228,5,8462,21,3995402,3.66039E+11,6587,81295
20210228,2,800815,4565,42016524,1.32982E+11,205141,1892484
20210228,1,15836426,698768,96631217,57720268056,1869159,6148025
20210228,3,243558,886,29261851,2.0631E+11,82433,1110343
20210331,2,821014,4022,44025852,1.38373E+11,189275,1743006
20210331,5,8785,12,4154018,3.83681E+11,6763,99020
20210331,0,35043,518,1057193,5363699884,963,5597
20210331,3,239348,789,30344589,2.14408E+11,77755,957522
20210331,4,55332,98,14855096,2.49255E+11,28182,449270
20210331,1,16368024,546891,101763698,59920272633,1535095,5895491
